Brand,Processor,RAM(GB),GPU,Screen_Size(inch),Battery_Life(hours),Weight(kg),Operating_System,Storage_Size(GB),Storage_Type,ResolutionX,ResolutionY,Price(€)
Apple,AMD Ryzen 3,64,Nvidia GTX 1650,17.3,8.9,1.42,FreeDOS,512,SSD,2560,1440,3677.3
Razer,AMD Ryzen 7,4,Nvidia RTX 3080,14.0,9.4,2.57,Linux,1024,SSD,1366,768,1247.32
Asus,Intel i5,32,Nvidia RTX 3060,13.3,8.5,1.74,FreeDOS,2048,SSD,3840,2160,2459.22
Lenovo,Intel i5,4,Nvidia RTX 3080,13.3,10.5,3.1,Windows,256,SSD,1366,768,691.08
Razer,Intel i3,4,AMD Radeon RX 6600,16.0,5.7,3.38,Linux,256,SSD,3840,2160,1895.04
Acer,AMD Ryzen 3,64,Nvidia RTX 3060,14.0,7.1,1.85,Linux,2048,SSD,1366,768,1542.51
Dell,Intel i5,8,Nvidia RTX 2060,15.6,9.1,1.98,Windows,1024,SSD,2560,1440,1333.13
Microsoft,AMD Ryzen 9,8,Nvidia RTX 3080,17.3,9.8,1.26,Linux,1024,SSD,2560,1440,2018.07
Apple,Intel i5,64,Nvidia RTX 2060,15.6,11.5,1.48,Linux,256,SSD,3840,2160,5896.31
HP,AMD Ryzen 5,4,AMD Radeon RX 6800,14.0,7.5,2.19,FreeDOS,1024,SSD,3840,2160,1432.18
Razer,Intel i9,8,Nvidia GTX 1650,16.0,6.4,2.53,Windows,256,SSD,1366,768,1880.83
Razer,Intel i5,32,AMD Radeon RX 6800,16.0,8.3,1.21,Windows,1024,HDD,1920,1080,1870.07
Lenovo,Intel i5,4,Nvidia RTX 2060,16.0,9.3,2.97,Windows,256,SSD,3840,2160,1628.45
Acer,AMD Ryzen 3,16,Integrated,15.6,10.9,2.02,Windows,512,SSD,1920,1080,579.56
Samsung,Intel i3,32,Nvidia RTX 3060,15.6,11.8,2.95,macOS,256,SSD,2560,1440,1756.3
MSI,Intel i7,8,Integrated,13.3,7.8,3.34,macOS,512,SSD,1920,1080,903.61
Razer,AMD Ryzen 3,16,Nvidia RTX 3080,17.3,11.6,3.11,macOS,1024,SSD,3840,2160,2219.96
Microsoft,AMD Ryzen 9,4,AMD Radeon RX 6800,17.3,8.3,1.48,Linux,2048,SSD,1920,1080,1458.75
Razer,Intel i5,32,Nvidia GTX 1650,14.0,10.0,3.4,FreeDOS,512,SSD,1920,1080,2015.87
HP,AMD Ryzen 9,16,Nvidia RTX 3060,16.0,7.2,2.17,FreeDOS,2048,SSD,1366,768,1636.53
Dell,Intel i7,64,AMD Radeon RX 6600,17.3,6.4,2.48,FreeDOS,256,SSD,1920,1080,3046.43
Acer,AMD Ryzen 7,16,AMD Radeon RX 6600,15.6,11.4,3.05,Linux,1024,SSD,1920,1080,1595.57
Dell,AMD Ryzen 3,8,Nvidia GTX 1650,13.3,7.0,1.7,Linux,1024,HDD,2560,1440,808.22
Dell,Intel i5,8,Integrated,13.3,11.9,2.53,macOS,1024,HDD,2560,1440,764.17
Apple,Intel i9,64,Integrated,17.3,6.9,2.55,Windows,256,SSD,1920,1080,4074.39
HP,AMD Ryzen 7,8,Nvidia RTX 3060,14.0,4.4,1.6,macOS,512,SSD,2560,1440,1383.86
Asus,AMD Ryzen 9,64,AMD Radeon RX 6600,13.3,6.2,2.58,macOS,512,SSD,1920,1080,3595.2
Microsoft,AMD Ryzen 9,8,Integrated,13.3,9.9,3.11,Windows,1024,SSD,1366,768,898.32
Microsoft,AMD Ryzen 5,64,AMD Radeon RX 6600,16.0,9.3,2.31,macOS,512,SSD,2560,1440,3023.22
Dell,AMD Ryzen 3,4,Nvidia GTX 1650,15.6,5.4,1.95,Windows,1024,SSD,1366,768,765.15
Samsung,Intel i7,32,AMD Radeon RX 6800,15.6,11.5,2.32,FreeDOS,1024,SSD,2560,1440,2638.6
Lenovo,AMD Ryzen 9,32,Nvidia RTX 3060,17.3,11.4,1.7,Linux,1024,SSD,2560,1440,3297.51
HP,Intel i3,64,AMD Radeon RX 6600,16.0,4.9,1.99,Linux,512,SSD,1366,768,1728.13
Dell,AMD Ryzen 5,32,Nvidia GTX 1650,15.6,9.1,3.01,Windows,2048,SSD,1920,1080,1687.47
MSI,Intel i3,64,Nvidia RTX 2060,15.6,8.3,3.47,Linux,1024,SSD,2560,1440,3119.61
Acer,AMD Ryzen 5,8,AMD Radeon RX 6800,15.6,6.2,1.68,Linux,512,SSD,3840,2160,1769.18
Samsung,AMD Ryzen 9,32,Nvidia RTX 3060,14.0,5.4,2.6,macOS,2048,SSD,1920,1080,2393.21
Dell,AMD Ryzen 9,32,AMD Radeon RX 6800,13.3,7.2,3.32,FreeDOS,2048,SSD,1920,1080,2548.84
MSI,Intel i9,16,Nvidia GTX 1650,13.3,7.5,2.08,macOS,1024,SSD,1920,1080,2315.01
Microsoft,Intel i3,8,Nvidia RTX 2060,15.6,5.0,3.48,macOS,2048,SSD,2560,1440,996.46
Samsung,Intel i9,32,Integrated,16.0,7.6,1.32,FreeDOS,1024,SSD,3840,2160,3057.98
Asus,AMD Ryzen 5,4,Nvidia GTX 1650,16.0,11.6,3.38,FreeDOS,512,SSD,3840,2160,1618.32
Dell,AMD Ryzen 5,4,Nvidia RTX 3060,13.3,8.0,2.69,macOS,1024,SSD,1920,1080,910.97
Apple,Intel i9,32,Nvidia GTX 1650,17.3,5.7,1.83,Windows,2048,SSD,2560,1440,4943.7
Acer,Intel i7,16,Integrated,16.0,6.6,3.39,Linux,256,SSD,2560,1440,1226.01
Microsoft,AMD Ryzen 3,32,Nvidia GTX 1650,16.0,11.3,1.83,FreeDOS,512,SSD,1366,768,1068.14
Lenovo,Intel i5,16,Nvidia GTX 1650,16.0,10.0,2.07,macOS,1024,SSD,3840,2160,2075.54
MSI,Intel i9,16,Integrated,17.3,10.3,3.16,Windows,1024,SSD,3840,2160,2866.94
