laptop_ID,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,IPS_Panel,Retina_Display,Touchscreen,Resolution_X,Resolution_Y,Total_Pixels,High_Resolution,Product_Series,Cpu_Brand,Cpu_Series,Clock_Speed,Gpu_Manufacturer,Gpu_Series,Memory_Type,Memory_Size(GB)
1,Apple,Ultrabook,13.3,8,macOS,1.37,1339.69,1,1,0,2560,1600,4096000,1,MacBook,Intel,Core i5,2.3,Intel,Iris Plus,SSD,128
2,Apple,Ultrabook,13.3,8,macOS,1.34,898.94,0,0,0,1440,900,1296000,0,Macbook,Intel,Core i5,1.8,Intel,HD,Flash Storage,128
3,HP,Notebook,15.6,8,No OS,1.86,575.0,0,0,0,1920,1080,2073600,0,250 G6,Intel,Core i5,2.5,Intel,HD,SSD,256
4,Apple,Ultrabook,15.4,16,macOS,1.83,2537.45,1,1,0,2880,1800,5184000,1,MacBook,Intel,Core i7,2.7,AMD,Radeon,SSD,512
5,Apple,Ultrabook,13.3,8,macOS,1.37,1803.6,1,1,0,2560,1600,4096000,1,MacBook,Intel,Core i5,3.1,Intel,Iris Plus,SSD,256
6,Acer,Notebook,15.6,4,Windows 10,2.1,400.0,0,0,0,1366,768,1049088,0,Aspire,AMD,A9-Series,3,AMD,Radeon,HDD,500
7,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,1,1,0,2880,1800,5184000,1,MacBook,Intel,Core i7,2.2,Intel,Iris Pro,Flash Storage,256
8,Apple,Ultrabook,13.3,8,macOS,1.34,1158.7,0,0,0,1440,900,1296000,0,Macbook,Intel,Core i5,1.8,Intel,HD,Flash Storage,256
9,Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,0,0,0,1920,1080,2073600,0,ZenBook,Intel,Core i7,1.8,Nvidia,GeForce,SSD,512
10,Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,1,0,0,1920,1080,2073600,0,Swift,Intel,Core i5,1.6,Intel,UHD,SSD,256
11,HP,Notebook,15.6,4,No OS,1.86,393.9,0,0,0,1366,768,1049088,0,250 G6,Intel,Core i5,2.5,Intel,HD,HDD,500
12,HP,Notebook,15.6,4,No OS,1.86,344.99,0,0,0,1920,1080,2073600,0,250 G6,Intel,Core i3,2,Intel,HD,HDD,500
13,Apple,Ultrabook,15.4,16,macOS,1.83,2439.97,1,1,0,2880,1800,5184000,1,MacBook,Intel,Core i7,2.8,AMD,Radeon,SSD,256
14,Dell,Notebook,15.6,4,Windows 10,2.2,498.9,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i3,2,AMD,Radeon,SSD,256
15,Apple,Ultrabook,12.0,8,macOS,0.92,1262.4,1,1,0,2304,1440,3317760,1,MacBook,Intel,Core M,1.2,Intel,HD,SSD,256
